[Year],[S&E Fields],[Board field],[Public or Private],[Institution Name],[Citizenship],[Sex],Graduate students
2010,Engineering,Engineering,Private,Keck Graduate Institute,Foreign nationals,Female,-
2010,Engineering,Engineering,Private,Loyola Marymount University,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),Male,-
2010,Engineering,Engineering,Private,Loyola Marymount University,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),Female,-
2010,Engineering,Engineering,Private,Loyola Marymount University,Foreign nationals,Male,-
2010,Engineering,Engineering,Private,Loyola Marymount University,Foreign nationals,Female,-
2010,Engineering,Engineering,Private,Northwestern Polytechnic University,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),Female,-
2010,Engineering,Engineering,Private,Northwestern Polytechnic University,Foreign nationals,Male,-
2010,Engineering,Engineering,Private,Northwestern Polytechnic University,Foreign nationals,Female,-
2010,Engineering,Engineering,Private,Santa Clara University,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),Male,-
2010,Engineering,Engineering,Private,Santa Clara University,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),Female,-
2010,Engineering,Engineering,Private,Santa Clara University,Foreign nationals,Male,-
2010,Engineering,Engineering,Private,Santa Clara University,Foreign nationals,Female,-
2010,Engineering,Engineering,Private,Stanford University,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),Male,-
2010,Engineering,Engineering,Private,Stanford University,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),Female,-
2010,Engineering,Engineering,Private,Stanford University,Foreign nationals,Male,-
2010,Engineering,Engineering,Private,Stanford University,Foreign nationals,Female,-
2010,Engineering,Engineering,Private,University of Southern California,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),Male,-
2010,Engineering,Engineering,Private,University of Southern California,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),Female,-
2010,Engineering,Engineering,Private,University of Southern California,Foreign nationals,Male,-
2010,Engineering,Engineering,Private,University of Southern California,Foreign nationals,Female,-
2010,Engineering,Engineering,Private,University of the Pacific,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),Male,-
2010,Engineering,Engineering,Private,University of the Pacific,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),Female,-
2010,Engineering,Engineering,Private,University of the Pacific,Foreign nationals,Male,-
2010,Engineering,Use Broad Fields (Old) for 2016 and earlier,Public,"California State University, Chico",U.S. citizens and permanent residents (non-U.S. citizens holding green cards),Female,-
2010,Engineering,Use Broad Fields (Old) for 2016 and earlier,Public,Humboldt State University,Foreign nationals,Male,-
2010,Engineering,Use Broad Fields (Old) for 2016 and earlier,Public,"University of California, Merced",U.S. citizens and permanent residents (non-U.S. citizens holding green cards),Male,-
2010,Engineering,Use Broad Fields (Old) for 2016 and earlier,Public,"University of California, Merced",U.S. citizens and permanent residents (non-U.S. citizens holding green cards),Female,-
2010,Engineering,Use Broad Fields (Old) for 2016 and earlier,Public,"University of California, Merced",Foreign nationals,Male,-
2010,Engineering,Use Broad Fields (Old) for 2016 and earlier,Public,"University of California, Merced",Foreign nationals,Female,-
2010,Engineering,Use Broad Fields (Old) for 2016 and earlier,Private,International Technological University,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),Male,-
2010,Engineering,Use Broad Fields (Old) for 2016 and earlier,Private,International Technological University,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),Female,-
2010,Engineering,Use Broad Fields (Old) for 2016 and earlier,Private,International Technological University,Foreign nationals,Male,-
2010,Engineering,Use Broad Fields (Old) for 2016 and earlier,Private,International Technological University,Foreign nationals,Female,-
2010,Engineering,Use Broad Fields (Old) for 2016 and earlier,Private,Keck Graduate Institute,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),Male,-
2010,Engineering,Use Broad Fields (Old) for 2016 and earlier,Private,Keck Graduate Institute,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),Female,-
2010,Engineering,Use Broad Fields (Old) for 2016 and earlier,Private,Keck Graduate Institute,Foreign nationals,Female,-
2010,Engineering,Use Broad Fields (Old) for 2016 and earlier,Private,Northwestern Polytechnic University,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),Male,-
2010,Engineering,Use Broad Fields (Old) for 2016 and earlier,Private,Northwestern Polytechnic University,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),Female,-
2010,Engineering,Use Broad Fields (Old) for 2016 and earlier,Private,Northwestern Polytechnic University,Foreign nationals,Male,-
2010,Engineering,Use Broad Fields (Old) for 2016 and earlier,Private,Northwestern Polytechnic University,Foreign nationals,Female,-
2010,Engineering,Use Broad Fields (Old) for 2016 and earlier,Private,University of San Diego,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),Male,-
2010,Engineering,Use Broad Fields (Old) for 2016 and earlier,Private,University of Southern California,Foreign nationals,Male,"1,506"
2010,Science,Use Broad Fields (Old) for 2016 and earlier,Public,"University of California, Berkeley",U.S. citizens and permanent residents (non-U.S. citizens holding green cards),Male,"1,447"
2010,Engineering,Use Broad Fields (Old) for 2016 and earlier,Private,Stanford University,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),Male,"1,341"
2010,Science,Use Broad Fields (Old) for 2016 and earlier,Public,"University of California, Los Angeles",U.S. citizens and permanent residents (non-U.S. citizens holding green cards),Male,"1,251"
2010,Science,Use Broad Fields (Old) for 2016 and earlier,Public,"University of California, Berkeley",U.S. citizens and permanent residents (non-U.S. citizens holding green cards),Female,"1,228"
2010,Science,Use Broad Fields (Old) for 2016 and earlier,Public,"University of California, Davis",U.S. citizens and permanent residents (non-U.S. citizens holding green cards),Female,"1,226"
2010,Science,Use Broad Fields (Old) for 2016 and earlier,Private,University of Southern California,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),Female,"1,161"
2010,Engineering,Use Broad Fields (Old) for 2016 and earlier,Public,Naval Postgraduate School,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),Male,"1,152"
2010,Science,Use Broad Fields (Old) for 2016 and earlier,Private,Stanford University,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),Male,"1,151"
2010,Science,Use Broad Fields (Old) for 2016 and earlier,Private,University of Southern California,Foreign nationals,Male,"1,125"
2010,Science,Use Broad Fields (Old) for 2016 and earlier,Public,"University of California, Davis",U.S. citizens and permanent residents (non-U.S. citizens holding green cards),Male,"1,115"
2010,Engineering,Use Broad Fields (Old) for 2016 and earlier,Private,University of Southern California,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),Male,"1,090"
2010,Science,Use Broad Fields (Old) for 2016 and earlier,Public,"University of California, Los Angeles",U.S. citizens and permanent residents (non-U.S. citizens holding green cards),Female,"1,089"
2010,Science,Use Broad Fields (Old) for 2016 and earlier,Public,"University of California, San Diego",U.S. citizens and permanent residents (non-U.S. citizens holding green cards),Male,"1,082"
2010,Science,Use Broad Fields (Old) for 2016 and earlier,Private,University of Southern California,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),Male,"1,058"
2010,Engineering,Use Broad Fields (Old) for 2016 and earlier,Private,Stanford University,Foreign nationals,Male,"1,048"
2010,Science,Use Broad Fields (Old) for 2016 and earlier,Public,"University of California, Irvine",U.S. citizens and permanent residents (non-U.S. citizens holding green cards),Male,930
2010,Science,Use Broad Fields (Old) for 2016 and earlier,Public,Naval Postgraduate School,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),Male,821
2010,Science,Use Broad Fields (Old) for 2016 and earlier,Public,"University of California, San Diego",U.S. citizens and permanent residents (non-U.S. citizens holding green cards),Female,803
2010,Science,Use Broad Fields (Old) for 2016 and earlier,Private,Pepperdine University,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),Female,800
2010,Engineering,Use Broad Fields (Old) for 2016 and earlier,Public,"University of California, Los Angeles",U.S. citizens and permanent residents (non-U.S. citizens holding green cards),Male,790
2010,Science,Use Broad Fields (Old) for 2016 and earlier,Public,"University of California, Irvine",U.S. citizens and permanent residents (non-U.S. citizens holding green cards),Female,781
